Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot _Cases/1_Mpop,Deaths/1_Mpop,Total_Tests,Tests/1_Mpop,Population,Continent,1_Caseevery_Xppl,1_Deathevery_Xppl,1_Testevery_Xppl,New_Cases/1_Mpop,New_Deaths/1_Mpop,Active_Cases/1_Mpop
Georgia,1650384.0,376.0,16765.0,4.0,1629266.0,234.0,4353.0,0.0,415116.0,4217.0,16498490.0,4149812.0,3975720.0,Asia,2.0,237.0,0.0,95.0,1.0,1095.0
Pakistan,1525923.0,148.0,30361.0,0.0,1486464.0,212.0,9098.0,310.0,6680.0,133.0,27633900.0,120978.0,228420997.0,Asia,150.0,7524.0,8.0,0.6,0.0,40.0
Ireland,1477112.0,0.0,6805.0,0.0,1315786.0,2377.0,154521.0,58.0,293390.0,1352.0,11887837.0,2361211.0,5034635.0,Europe,3.0,740.0,0.0,0.0,0.0,30692.0
Norway,1411550.0,0.0,2518.0,0.0,0.0,0.0,0.0,20.0,256847.0,458.0,11002430.0,2002014.0,5495680.0,Europe,4.0,2183.0,0.0,0.0,0.0,240203.0
Kazakhstan,1305229.0,15.0,13660.0,0.0,1290278.0,170.0,1291.0,528.0,68083.0,713.0,11575012.0,603775.0,19171060.0,Asia,15.0,1403.0,2.0,0.8,0.0,67.0
Hong Kong,1180591.0,2777.0,8460.0,111.0,0.0,0.0,0.0,115.0,155264.0,1113.0,44972952.0,5914547.0,7603787.0,Asia,6.0,899.0,0.0,365.0,15.0,152411.0
Morocco,1163656.0,0.0,16061.0,0.0,1146888.0,0.0,707.0,293.0,30884.0,426.0,11237010.0,298232.0,37678732.0,Africa,32.0,2346.0,3.0,0.0,0.0,19.0
Bulgaria,1142698.0,0.0,36636.0,0.0,933840.0,0.0,172222.0,174.0,166657.0,5343.0,9650834.0,1407524.0,6856602.0,Europe,6.0,187.0,1.0,0.0,0.0,25118.0
Singapore,1119419.0,0.0,1284.0,0.0,1046731.0,0.0,71404.0,16.0,188736.0,216.0,23548306.0,3970285.0,5931138.0,Asia,5.0,4619.0,0.0,0.0,0.0,12039.0
Croatia,1105315.0,1653.0,15646.0,12.0,1081347.0,640.0,8322.0,26.0,272191.0,3853.0,4704031.0,1158396.0,4060813.0,Europe,4.0,260.0,1.0,407.0,3.0,2049.0
Cuba,1093676.0,0.0,8516.0,0.0,1081969.0,0.0,3191.0,23.0,96662.0,753.0,12920253.0,1141922.0,11314475.0,North America,10.0,1329.0,1.0,0.0,0.0,282.0
Lebanon,1093551.0,0.0,10324.0,0.0,1067926.0,0.0,15301.0,186.0,161487.0,1525.0,4795578.0,708172.0,6771773.0,Asia,6.0,656.0,1.0,0.0,0.0,2260.0
Tunisia,1037358.0,0.0,28425.0,0.0,0.0,0.0,0.0,29.0,86190.0,2362.0,4537900.0,377035.0,12035767.0,Africa,12.0,423.0,3.0,0.0,0.0,-1085.68
